"","LGA","admin2_name","casesSAMMAM","percSAMMAM","percvitA","percdworm"
"1","CRR","Fulladu West",543,6.85346459674366,59.5986368799697,48.8703773823047
"2","CRR","Janjanbureh",3,5.45454545454545,69.0909090909091,50.9090909090909
"3","CRR","Lower Saloum",60,3.87596899224806,61.046511627907,49.2894056847545
"4","CRR","Niamina Dankunku",61,8.73925501432665,64.8997134670487,56.0171919770774
"5","CRR","Niamina East",187,7.07529322739311,69.9583806280742,61.7101778282255
"6","CRR","Niamina West",68,7.94392523364486,57.2429906542056,48.481308411215
"7","CRR","Niani",166,4.9434187016081,56.1346039309113,44.7885646217987
"8","CRR","Nianija",83,6.26415094339623,54.1132075471698,40.6792452830189
"9","CRR","Sami",161,4.85232067510549,61.0910186859554,49.3369499698614
"10","CRR","Upper Saloum",150,6.21890547263682,51.2023217247098,38.4742951907131
"11","LRR","Jarra Central",28,3.21469575200919,82.8932261768083,70.1492537313433
"12","LRR","Jarra East",49,3.84012539184953,84.717868338558,72.6489028213166
"13","LRR","Jarra West",81,4.4189852700491,73.4860883797054,60.2291325695581
"14","LRR","Kiang Central",26,3.78457059679767,83.1149927219796,73.216885007278
"15","LRR","Kiang East",23,3.04635761589404,76.953642384106,64.9006622516556
"16","LRR","Kiang West",22,1.87074829931973,86.5646258503401,77.6360544217687
"17","NBR","Central Baddibu",354,5.63335455124125,68.7141947803946,53.5009548058561
"18","NBR","Janjanbureh",13,6.80628272251309,47.6439790575916,30.8900523560209
"19","NBR","Jokadu",177,7.20097640358015,74.2473555736371,63.7917005695688
"20","NBR","Lower Baddibou",91,6.41748942172073,95.9097320169252,90.1269393511989
"21","NBR","Lower Niumi",88,2.34042553191489,73.8297872340426,60.4787234042553
"22","NBR","Sami",20,3.0441400304414,64.6879756468798,55.7077625570776
"23","NBR","Upper Nuimi",74,2.27063516416079,80.1472844430807,66.7689475299172
"24","URR","Fulladu East",353,4.45145018915511,44.5523329129887,31.5636822194199
"25","URR","Janjanbureh",1,2.56410256410256,53.8461538461538,33.3333333333333
"26","URR","Kantora",151,5.26682943843739,53.4705266829438,38.5769096616672
"27","URR","Sami",55,5.74712643678161,50.0522466039707,36.9905956112853
"28","URR","Sandu",112,5.08859609268514,55.8382553384825,44.7978191731031
"29","URR","Wuli",267,5.83734149540883,57.5863576738085,42.0638390905116
